"trait","estimate","p","t","aicc","slope","int","sterr.int","sterr.slope"
"Av_groups",0.154,0.1436,1.484,170.212,0.154,1.346,1.34,0.104
"SNPs",0.579,0,5.682,146.121,0.579,1.209,1.085,0.102
"loci",-0.248,0.0881,-1.736,169.407,-0.248,1.263,1.332,0.143
"SNPs_per_locus",0.596,0,5.884,144.615,0.596,1.186,1.071,0.101
"av_contig_length",-0.515,5e-04,-3.708,159.732,-0.515,1.085,1.224,0.139
"total_bp",-0.593,1e-04,-4.186,156.687,-0.593,0.993,1.193,0.142
"SNPs_per_bp",0.652,0,6.432,140.483,0.652,1.116,1.033,0.101
"Av_UCE_gene_tree_length",0.437,1e-04,4.242,156.316,0.437,1.224,1.186,0.103
"D",-0.105,0.3242,-0.995,171.432,-0.105,1.395,1.354,0.106
"theta",0.288,0.0202,2.392,166.808,0.288,1.392,1.3,0.12
"seg_sites",0.321,0.0096,2.684,165.434,0.321,1.392,1.284,0.12
"pairwise_diffs",0.198,0.082,1.771,169.286,0.198,1.377,1.328,0.112
"nuc_div",0.305,0.0076,2.769,165.009,0.305,1.32,1.28,0.11
"seg_sites_per_bp",0.361,0.0051,2.918,164.243,0.361,1.337,1.271,0.124
"subtending_branch",-0.074,0.6897,-0.403,87.027,-0.074,0.862,0.702,0.183
"stem_length",-0.228,0.159,-1.447,85.037,-0.228,0.865,0.679,0.157
"mtDNA.branch.length",0.436,0,5.013,145.778,0.436,1.165,1.136,0.087
"Beak.Length_Nares",0.047,0.8588,0.179,172.416,0.047,1.385,1.366,0.262
"Hand.wing.Index",0.596,0.0722,1.833,169.068,0.596,1.031,1.34,0.325
"Trophic.Niche",-0.104,0.6262,-0.49,172.201,-0.104,1.343,1.366,0.212
"Mass",-0.418,0.1675,-1.399,170.456,-0.418,2.362,1.511,0.299
"Range.Size",-0.044,0.6992,-0.388,172.293,-0.044,1.415,1.366,0.113
"nucleotide.F_ST",0.424,0,4.443,154.966,0.424,1.317,1.172,0.095
"Nei.G_ST",0.524,0,5.512,147.38,0.524,1.264,1.096,0.095
"Dxy",0.367,0.0015,3.34,161.925,0.367,1.26,1.246,0.11
"e_statistic",-0.33,7e-04,-3.597,158.689,-0.33,1.361,1.237,0.092
"e_slope",0.324,9e-04,3.503,159.254,0.324,1.354,1.244,0.092
"a_statistic",-0.126,0.2082,-1.274,169.061,-0.126,1.362,1.358,0.099
"a_slope",0.295,0.0029,3.117,161.451,0.295,1.339,1.268,0.095
"Nei.G_ST.pop",0.122,0.179,1.361,170.56,0.122,1.361,1.344,0.09
"nucleotide.F_ST.pop",0.25,0.0103,2.656,165.568,0.25,1.316,1.286,0.094
"Dxy.pop",0.314,0.0032,3.087,163.339,0.314,1.264,1.262,0.102
